Regio,Migratieachtergrond,value
Noord-Holland (PV),Canada en overig Noord-Amerika,2781
Noord-Holland (PV),China,6212
Noord-Holland (PV),Colombia,2259
Noord-Holland (PV),Dominicaanse Republiek,2688
Noord-Holland (PV),Duitsland,54467
Noord-Holland (PV),Egypte,6929
Noord-Holland (PV),Ethiopië,2943
Noord-Holland (PV),Filippijnen,3580
Noord-Holland (PV),Frankrijk,8255
Noord-Holland (PV),Ghana,10702
Noord-Holland (PV),Griekenland,1978
Noord-Holland (PV),Hongarije,2901
Noord-Holland (PV),Hongkong,4902
Noord-Holland (PV),India,4421
Noord-Holland (PV),Indonesië,78729
Noord-Holland (PV),Irak,6226
Noord-Holland (PV),Iran,5231
Noord-Holland (PV),Italië,9332
Noord-Holland (PV),Japan,3838
Noord-Holland (PV),Kaapverdië,1172
Noord-Holland (PV),Marokko,80450
Noord-Holland (PV),Oostenrijk,3486
Noord-Holland (PV),Pakistan,6558
Noord-Holland (PV),Polen,5459
Noord-Holland (PV),Portugal,5667
Noord-Holland (PV),Somalië,3581
Noord-Holland (PV),Spanje,8542
Noord-Holland (PV),Suriname,97254
Noord-Holland (PV),Turkije,68595
Noord-Holland (PV),Verenigd Koninkrijk,21545
Noord-Holland (PV),Verenigde Staten van Amerika,9993
Noord-Holland (PV),Vietnam,3093
Noord-Holland (PV),Zuid-Afrika,3619
Noord-Holland (PV),Overig Afrika,15448
Noord-Holland (PV),Overig Amerika,9987
Noord-Holland (PV),Overig Azië,14858
Noord-Holland (PV),Overig Europa,15499
Noord-Holland (PV),Overig Oceanië,1300
Zuid-Holland (PV),Afghanistan,8083
Zuid-Holland (PV),Australië,3266
Zuid-Holland (PV),België,16396
Zuid-Holland (PV),Brazilië,2727
Zuid-Holland (PV),Canada en overig Noord-Amerika,2845
Zuid-Holland (PV),China,11351
Zuid-Holland (PV),Colombia,3559
Zuid-Holland (PV),Dominicaanse Republiek,3623
Zuid-Holland (PV),Duitsland,57887
Zuid-Holland (PV),Egypte,4261
Zuid-Holland (PV),Ethiopië,3479
Zuid-Holland (PV),Filippijnen,3070
Zuid-Holland (PV),Frankrijk,9686
Zuid-Holland (PV),Ghana,4106
Zuid-Holland (PV),Griekenland,3916
Zuid-Holland (PV),Hongarije,2927
Zuid-Holland (PV),Hongkong,6036
Zuid-Holland (PV),India,4578
Zuid-Holland (PV),Indonesië,100353
Zuid-Holland (PV),Irak,11588
Zuid-Holland (PV),Iran,7852
Zuid-Holland (PV),Italië,8456
Zuid-Holland (PV),Japan,1683
Zuid-Holland (PV),Kaapverdië,17428
Zuid-Holland (PV),Marokko,90692
Zuid-Holland (PV),Oostenrijk,4091
Zuid-Holland (PV),Pakistan,8056
Zuid-Holland (PV),Polen,6800
Zuid-Holland (PV),Portugal,6614
Zuid-Holland (PV),Somalië,8435
Zuid-Holland (PV),Spanje,9390
Zuid-Holland (PV),Suriname,136549
Zuid-Holland (PV),Turkije,109885
Zuid-Holland (PV),Verenigd Koninkrijk,22829
Zuid-Holland (PV),Verenigde Staten van Amerika,7796
Zuid-Holland (PV),Vietnam,2826
Zuid-Holland (PV),Zuid-Afrika,3924
Zuid-Holland (PV),Overig Afrika,22900
Zuid-Holland (PV),Overig Amerika,9719
Zuid-Holland (PV),Overig Azië,14748
Zuid-Holland (PV),Overig Europa,15766
Zuid-Holland (PV),Overig Oceanië,1183
Zeeland (PV),Afghanistan,505
Zeeland (PV),Australië,201
Zeeland (PV),België,17057
Zeeland (PV),Brazilië,170
Zeeland (PV),Canada en overig Noord-Amerika,294
Zeeland (PV),China,750
Zeeland (PV),Colombia,103
Zeeland (PV),Dominicaanse Republiek,84
Zeeland (PV),Duitsland,5436
Zeeland (PV),Egypte,209
Zeeland (PV),Ethiopië,109
Zeeland (PV),Filippijnen,214
Zeeland (PV),Frankrijk,1048
Zeeland (PV),Ghana,56
Zeeland (PV),Griekenland,224
Zeeland (PV),Hongarije,178
Zeeland (PV),Hongkong,209
Zeeland (PV),India,89
Zeeland (PV),Indonesië,6591
Zeeland (PV),Irak,737
Zeeland (PV),Iran,323
Zeeland (PV),Italië,435
Zeeland (PV),Japan,14
Zeeland (PV),Kaapverdië,15
Zeeland (PV),Marokko,1908
Zeeland (PV),Oostenrijk,345
Zeeland (PV),Pakistan,104
Zeeland (PV),Polen,800
Zeeland (PV),Portugal,180
Zeeland (PV),Somalië,243
Zeeland (PV),Spanje,266
Zeeland (PV),Suriname,2389
Zeeland (PV),Turkije,3021
Zeeland (PV),Verenigd Koninkrijk,1744
Zeeland (PV),Verenigde Staten van Amerika,366
Zeeland (PV),Vietnam,435
Zeeland (PV),Zuid-Afrika,289
