Regio,Migratieachtergrond,value
Noord-Brabant (PV),Marokko,42397
Noord-Brabant (PV),Oostenrijk,1748
Noord-Brabant (PV),Pakistan,866
Noord-Brabant (PV),Polen,32497
Noord-Brabant (PV),Portugal,2702
Noord-Brabant (PV),Somalië,8014
Noord-Brabant (PV),Spanje,4847
Noord-Brabant (PV),Suriname,19172
Noord-Brabant (PV),Turkije,50533
Noord-Brabant (PV),Verenigd Koninkrijk,8754
Noord-Brabant (PV),Verenigde Staten van Amerika,3253
Noord-Brabant (PV),Vietnam,3763
Noord-Brabant (PV),Zuid-Afrika,1895
Noord-Brabant (PV),Overig Afrika,13816
Noord-Brabant (PV),Overig Amerika,5002
Noord-Brabant (PV),Overig Azië,15996
Noord-Brabant (PV),Overig Europa,12474
Noord-Brabant (PV),Overig Oceanië,771
Limburg (PV),Afghanistan,2266
Limburg (PV),Australië,885
Limburg (PV),België,18210
Limburg (PV),Brazilië,846
Limburg (PV),Canada en overig Noord-Amerika,639
Limburg (PV),China,3550
Limburg (PV),Colombia,532
Limburg (PV),Dominicaanse Republiek,287
Limburg (PV),Duitsland,73836
Limburg (PV),Egypte,844
Limburg (PV),Ethiopië,554
Limburg (PV),Filippijnen,820
Limburg (PV),Frankrijk,1945
Limburg (PV),Ghana,315
Limburg (PV),Griekenland,1129
Limburg (PV),Hongarije,1673
Limburg (PV),Hongkong,716
Limburg (PV),India,802
Limburg (PV),Indonesië,20133
Limburg (PV),Irak,2506
Limburg (PV),Iran,1710
Limburg (PV),Italië,4023
Limburg (PV),Japan,294
Limburg (PV),Kaapverdië,43
Limburg (PV),Marokko,16989
Limburg (PV),Oostenrijk,1272
Limburg (PV),Pakistan,282
Limburg (PV),Polen,12387
Limburg (PV),Portugal,769
Limburg (PV),Somalië,1977
Limburg (PV),Spanje,1995
Limburg (PV),Suriname,3149
Limburg (PV),Turkije,12138
Limburg (PV),Verenigd Koninkrijk,4404
Limburg (PV),Verenigde Staten van Amerika,2008
Limburg (PV),Vietnam,1239
Limburg (PV),Zuid-Afrika,650
Limburg (PV),Overig Afrika,5796
Limburg (PV),Overig Amerika,1865
Limburg (PV),Overig Azië,8258
Limburg (PV),Overig Europa,5817
Limburg (PV),Overig Oceanië,237
